term_id,logical_term,physical_name,word_ids,definition,domain_id,nullable,source_columns
MEMBER_ID,회원ID,member_id,MEMBER|ID,회원을 유일하게 구분하는 값,ID_20,N,mbr_no
MEMBER_NAME,회원명,member_name,MEMBER|NAME,회원이 서비스에서 사용하는 이름,NAME_100,N,mbr_nm
BOOK_ID,도서ID,book_id,BOOK|ID,도서를 유일하게 구분하는 값,ID_20,N,bk_cd
BOOK_NAME,도서명,book_name,BOOK|NAME,도서의 제목으로 사용하는 이름,NAME_200,N,bk_nm
CATEGORY_CODE,카테고리코드,category_code,CATEGORY|CODE,도서 카테고리를 구분하는 코드,CODE_20,N,ctg_cd
CATEGORY_NAME,카테고리명,category_name,CATEGORY|NAME,도서 카테고리의 이름,NAME_100,N,ctg_nm
ORDER_ID,주문ID,order_id,ORDER|ID,주문을 유일하게 구분하는 값,ID_20,N,ord_no
ORDER_DATETIME,주문일시,order_datetime,ORDER|DATETIME,회원이 주문을 확정한 날짜와 시각,DATETIME_ISO_SECOND,N,ord_dtm
ORDER_STATUS_CODE,주문상태코드,order_status_code,ORDER|STATUS|CODE,주문 처리의 현재 단계를 나타내는 코드,ORDER_STATUS_CODE,N,ord_st
QUANTITY,수량,quantity,QUANTITY,주문한 도서의 권수,POSITIVE_INTEGER_3,N,qty
UNIT_PRICE,단가,unit_price,UNIT|PRICE,결제 시점의 도서 한 권 가격,MONEY_12_2,N,amt
